codigo_pre,tipsum,codigo_med,fecha_carga,precio_adq,precio_ope,stk_,fv_,valid_tipsum,periodo
04317F01,S,29001,2021-10-01 02:40:48.797,25.337100,44.000000,61,2022-01-30 00:00:00.000,1,20210930
04317F01,S,28348,2021-10-01 02:40:41.060,480.000000,625.000000,1,2023-05-30 00:00:00.000,1,20210930
04317F01,S,26358,2021-10-01 02:40:29.233,19.199900,24.000000,13,2022-04-30 00:00:00.000,1,20210930
04317F01,S,25339,2021-10-01 02:40:21.320,0.000000,600.000000,0,2030-12-31 00:00:00.000,1,20210930
04317F01,S,25279,2021-10-01 02:40:19.353,5.000000,6.200000,0,2024-04-01 00:00:00.000,1,20210930
04317F01,S,25018,2021-10-01 02:40:15.773,0.000000,37.500000,0,2025-12-31 00:00:00.000,1,20210930
04317F01,S,24073,2021-10-01 02:40:04.227,0.000000,29.250000,0,2022-09-30 00:00:00.000,1,20210930
04317F01,S,23744,2021-10-01 02:39:58.837,0.000000,471.250000,0,2021-12-01 00:00:00.000,1,20210930
04317F01,S,23146,2021-10-01 02:39:38.990,3.400000,0.130000,0,2021-10-31 00:00:00.000,1,20210930
04317F01,S,23051,2021-10-01 02:39:33.490,165.000000,206.200000,2,2022-06-30 00:00:00.000,1,20210930
04317F01,S,22187,2021-10-01 02:38:55.893,7.250000,9.500000,22,2021-10-30 00:00:00.000,1,20210930
04317F01,S,20144,2021-10-01 02:38:08.503,1.580000,1.800000,0,2025-02-27 00:00:00.000,1,20210930
04317F01,S,19347,2021-10-01 02:37:34.653,41.000000,51.200000,0,2023-06-30 00:00:00.000,1,20210930
04317F01,S,18965,2021-10-01 02:37:14.710,0.000000,148.700000,0,2022-01-31 00:00:00.000,1,20210930
04317F01,S,18331,2021-10-01 02:36:26.467,0.000000,26.350600,18,2022-02-28 00:00:00.000,1,20210930
04317F01,S,17070,2021-10-01 02:35:24.060,1.500000,1.800000,0,2022-07-17 00:00:00.000,1,20210930
04317F01,S,16737,2021-10-01 02:35:02.403,0.517000,0.600000,0,2022-07-31 00:00:00.000,1,20210930
04317F01,S,12507,2021-10-01 02:33:28.753,30.000000,37.500000,0,2023-03-30 00:00:00.000,1,20210930
